types,counts,probs,total_unique
Liam,19966,0.011003091071712974,14103
Noah,18415,0.010148348296383574,14103
William,14639,0.008067427136071633,14103
James,13640,0.007516886818499698,14103
Oliver,13492,0.007435325289970522,14103
Benjamin,13478,0.00742761001024479,14103
Elijah,13007,0.0071680459566147775,14103
Lucas,12658,0.006975715054880438,14103
Mason,12514,0.006896357891987186,14103
Logan,12438,0.0068544749449046365,14103
Alexander,12101,0.006668757140078067,14103
Ethan,11924,0.006571213960688446,14103
Jacob,11878,0.006545863755875323,14103
Michael,11740,0.006469813141435957,14103
Daniel,11284,0.006218515458940659,14103
Henry,10711,0.005902740081594594,14103
Jackson,10417,0.005740719207354205,14103
Sebastian,10132,0.005583658155794644,14103
Aiden,10054,0.005540673025894132,14103
Matthew,9999,0.0055103629984001815,14103
Samuel,9847,0.005426597104235082,14103
David,9806,0.0054040023564668645,14103
Joseph,9669,0.005328502833436479,14103
Carter,9379,0.005168686324832013,14103
Owen,9334,0.005143887211427872,14103
John,9195,0.005067285505579525,14103
Wyatt,9178,0.005057916951626849,14103
Jack,8890,0.004899202625840346,14103
Jayden,8620,0.004750407945415498,14103
Luke,8620,0.004750407945415498,14103
Dylan,8606,0.004742692665689765,14103
Grayson,8600,0.00473938611723588,14103
Levi,8531,0.004701360810016196,14103
Isaac,8497,0.0046826237021108455,14103
Gabriel,8430,0.0046457005777091245,14103
Julian,8364,0.004609328544716383,14103
Mateo,8218,0.00452886919900517,14103
Anthony,8041,0.004431326019615547,14103
Jaxon,7763,0.004278122607918853,14103
Joshua,7435,0.004097364625773112,14103
Lincoln,7404,0.0040802807920947036,14103
Christopher,7328,0.004038397845012154,14103
Andrew,7303,0.004024620559787632,14103
Theodore,7085,0.003904482632629792,14103
Caleb,6990,0.003852128948776605,14103
Ryan,6938,0.003823472195509597,14103
Asher,6874,0.0037882023453348185,14103
Nathan,6848,0.0037738739687013145,14103
Thomas,6834,0.003766158688975582,14103
Leo,6771,0.003731439930209784,14103
Isaiah,6705,0.0036950678972170435,14103
Josiah,6677,0.003679637337765578,14103
Charles,6658,0.0036691666009949406,14103
Christian,6577,0.0036245281968674864,14103
Hudson,6574,0.0036228749226405433,14103
Hunter,6110,0.0033671685088733985,14103
Connor,6084,0.0033528401322398945,14103
Eli,6083,0.003352289040830914,14103
