types,counts,totalunique,probs
John,9655,1058,0.0874
William,9532,1058,0.0863
James,5927,1058,0.0536
Charles,5348,1058,0.0484
George,5126,1058,0.0464
Frank,3242,1058,0.0293
Joseph,2632,1058,0.0238
Thomas,2534,1058,0.0229
Henry,2444,1058,0.0221
Robert,2415,1058,0.0219
Edward,2364,1058,0.0214
Harry,2152,1058,0.0195
Walter,1755,1058,0.0159
Arthur,1599,1058,0.0145
Fred,1569,1058,0.0142
Albert,1493,1058,0.0135
Samuel,1024,1058,0.0093
David,869,1058,0.0079
Louis,828,1058,0.0075
Joe,731,1058,0.0066
Charlie,730,1058,0.0066
Clarence,730,1058,0.0066
Richard,728,1058,0.0066
Andrew,644,1058,0.0058
Daniel,643,1058,0.0058
Ernest,615,1058,0.0056
Will,588,1058,0.0053
Jesse,569,1058,0.0051
Oscar,544,1058,0.0049
Lewis,517,1058,0.0047
Peter,496,1058,0.0045
Benjamin,490,1058,0.0044
Frederick,483,1058,0.0044
Willie,476,1058,0.0043
Alfred,469,1058,0.0042
Sam,457,1058,0.0041
Roy,440,1058,0.004
Herbert,424,1058,0.0038
Jacob,404,1058,0.0037
Tom,399,1058,0.0036
Elmer,373,1058,0.0034
Carl,372,1058,0.0034
Lee,361,1058,0.0033
Howard,357,1058,0.0032
Martin,357,1058,0.0032
Michael,354,1058,0.0032
Bert,348,1058,0.0031
Herman,347,1058,0.0031
Jim,345,1058,0.0031
Francis,344,1058,0.0031
Harvey,344,1058,0.0031
Earl,335,1058,0.003
Eugene,328,1058,0.003
Ralph,317,1058,0.0029
Ed,310,1058,0.0028
Claude,309,1058,0.0028
Edwin,309,1058,0.0028
Ben,305,1058,0.0028
Charley,305,1058,0.0028
Paul,301,1058,0.0027
Edgar,283,1058,0.0026
Isaac,274,1058,0.0025
Otto,271,1058,0.0025
Luther,260,1058,0.0024
Lawrence,257,1058,0.0023
Ira,249,1058,0.0023
Patrick,248,1058,0.0022
Guy,239,1058,0.0022
Oliver,234,1058,0.0021
Theodore,232,1058,0.0021
Hugh,224,1058,0.002
Clyde,221,1058,0.002
Alexander,211,1058,0.0019
August,210,1058,0.0019
Floyd,206,1058,0.0019
Homer,205,1058,0.0019
Jack,204,1058,0.0018
Leonard,200,1058,0.0018
Horace,199,1058,0.0018
Marion,189,1058,0.0017
Philip,186,1058,0.0017
Allen,184,1058,0.0017
Archie,183,1058,0.0017
Stephen,176,1058,0.0016
Chester,168,1058,0.0015
Willis,166,1058,0.0015
Raymond,165,1058,0.0015
Rufus,163,1058,0.0015
Warren,158,1058,0.0014
Jessie,154,1058,0.0014
Milton,149,1058,0.0013
Alex,147,1058,0.0013
Leo,147,1058,0.0013
Julius,143,1058,0.0013
Ray,142,1058,0.0013
Sidney,142,1058,0.0013
Bernard,140,1058,0.0013
Dan,140,1058,0.0013
Jerry,136,1058,0.0012
Calvin,134,1058,0.0012
Perry,134,1058,0.0012
Dave,131,1058,0.0012
Anthony,130,1058,0.0012
Eddie,129,1058,0.0012
Amos,128,1058,0.0012
Dennis,128,1058,0.0012
Clifford,127,1058,0.0011
Leroy,124,1058,0.0011
Wesley,123,1058,0.0011
Alonzo,122,1058,0.0011
Garfield,122,1058,0.0011
Franklin,120,1058,0.0011
Emil,119,1058,0.0011
Leon,118,1058,0.0011
Nathan,114,1058,0.001
Harold,113,1058,0.001
Matthew,113,1058,0.001
